year,month,state,district,fps_id,fps_name,summary_total_etransaction,summary_aadhaar_authenticated,summary_other_mode_authenticated,summary_non_authenticated,txn_phh_regular,txn_phh_intra_state,txn_phh_inter_state,txn_phh_total,txn_aay_regular,txn_aay_intra_state,txn_aay_inter_state,txn_aay_total,rc_phh_regular,rc_phh_intra_state,rc_phh_inter_state,rc_phh_total,rc_aay_regular,rc_aay_intra_state,rc_aay_inter_state,rc_aay_total,dty_wheat_regular,dty_wheat_intra_state,dty_wheat_inter_state,dty_wheat_total,dty_fortified_rice_regular,dty_fortified_rice_intra_state,dty_fortified_rice_inter_state,dty_fortified_rice_total,dty_rice_regular,dty_rice_intra_state,dty_rice_inter_state,dty_rice_total,dty_coarse_grains_regular,dty_coarse_grains_intra_state,dty_coarse_grains_inter_state,dty_coarse_grains_total,dty_barley_regular,dty_barley_intra_state,dty_barley_inter_state,dty_barley_total,dty_bajra_regular,dty_bajra_intra_state,dty_bajra_inter_state,dty_bajra_total,dty_maize_regular,dty_maize_intra_state,dty_maize_inter_state,dty_maize_total,dty_jowar_regular,dty_jowar_intra_state,dty_jowar_inter_state,dty_jowar_total,dty_ragi_regular,dty_ragi_intra_state,dty_ragi_inter_state,dty_ragi_total,dty_kodo_regular,dty_kodo_intra_state,dty_kodo_inter_state,dty_kodo_total,dty_total_regular,dty_total_intra_state,dty_total_inter_state,dty_total_total
2026,April,GOA,SOUTH GOA,158600300151,M M SHETGAONKAR-11 FPS,183,183,0,0,175,2,0,177,6,0,0,6,175,2,0,177,6,0,0,6,0,0,0,0.0,3.195,0.03,0,3.225,3195,30,0,3225.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3195,30,0,3225.0
2026,April,GOA,SOUTH GOA,158600300152,VELSAO PALE S C STY-15 FPS,147,147,0,0,142,1,3,146,1,0,0,1,142,1,3,146,1,0,0,1,0,0,0,0.0,2.31,0.015,0.06,2.385,2310,15,60,2385.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2310,15,60,2385.0
2026,April,GOA,SOUTH GOA,158600300153,Rama Anant Honawarkar-19 FPS,85,85,0,0,84,1,0,85,0,0,0,0,84,1,0,85,0,0,0,0,0,0,0,0.0,1.735,0.02,0,1.755,1735,20,0,1755.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1735,20,0,1755.0
2026,April,GOA,SOUTH GOA,158600300154,CHOWGULE STAFF C C STY-21 FPS,36,36,0,0,35,1,0,36,0,0,0,0,35,1,0,36,0,0,0,0,0,0,0,0.0,0.555,0.005,0,0.56,555,5,0,560.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,555,5,0,560.0
2026,April,GOA,SOUTH GOA,158600300155,STANLEY DA SILVA-22 FPS,229,229,0,0,227,0,0,227,2,0,0,2,227,0,0,227,2,0,0,2,0,0,0,0.0,4.02,0,0,4.02,4020,0,0,4020.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4020,0,0,4020.0
2026,April,GOA,SOUTH GOA,158600300156,SURESH A. DESSAI-30 FPS,33,33,0,0,32,1,0,33,0,0,0,0,32,1,0,33,0,0,0,0,0,0,0,0.0,0.54,0.01,0,0.55,540,10,0,550.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,540,10,0,550.0
2026,April,GOA,SOUTH GOA,158600300157,GANDHI HENRIQUES-35 FPS,55,55,0,0,53,2,0,55,0,0,0,0,53,2,0,55,0,0,0,0,0,0,0,0.0,1.09,0.045,0,1.135,1090,45,0,1135.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1090,45,0,1135.0
2026,April,GOA,SOUTH GOA,158600300160,VILASINI A SHIRODKAR-43 FPS,126,126,0,0,68,21,29,118,0,0,8,8,68,21,29,118,0,0,8,8,0,0,0,0.0,1.3,0.36,0.915,2.575,1300,360,915,2575.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1300,360,915,2575.0
2026,April,GOA,SOUTH GOA,158600300162,SANDEEP T MANJREKAR-52 FPS,301,301,0,0,213,24,61,298,0,0,3,3,213,24,61,298,0,0,3,3,0,0,0,0.0,4.295,0.35,1.17,5.815,4295,350,1170,5815.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4295,350,1170,5815.0
2026,April,GOA,SOUTH GOA,158600300164,SHALINI LUCAS-56 FPS,49,49,0,0,40,9,0,49,0,0,0,0,40,9,0,49,0,0,0,0,0,0,0,0.0,0.755,0.195,0,0.95,755,195,0,950.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,755,195,0,950.0
